feature,importance,share_pct
historical_avg_delay_min,394,13.306315433975008
previous_station_delay,297,10.030395136778116
train_no_encoded,251,8.476865923674435
station_code_encoded,219,7.3961499493414395
stops_density_remaining,198,6.68693009118541
severe_delay_risk,189,6.382978723404255
delay_deviation_ratio,168,5.673758865248227
delay_per_km,163,5.504896994258696
delay_trend,135,4.5592705167173255
distance_km,132,4.4579533941236065
temperature_c,113,3.8162782843633907
distance_remaining,111,3.7487335359675784
number_of_stops_remaining,100,3.3772374197906116
rolling_avg_delay_last_3,99,3.343465045592705
pct_journey_complete,73,2.465383316447146
seq,69,2.330293819655522
event_elapsed_min,57,1.9250253292806485
weather_risk_score,52,1.7561634582911176
precipitation_mm,50,1.6886187098953058
day_of_week_encoded,35,1.1820330969267139
chronic_delay_tier,17,0.5741303613644039
season_encoded,15,0.5065856129685917
event_type_encoded,10,0.33772374197906113
is_weekend,10,0.33772374197906113
is_holiday,4,0.13508949679162446
chronic_tier_is_fallback,0,0.0
event_expected_min,0,0.0
event_active_flag,0,0.0
